,POS Txn,Dept,ID,Sales U
3246,16120100160037008869,0597,93,1
3247,16120100160037008869,0638,106,9
3248,16120100160037008869,0973,175,1
3249,16120100160037008870,0837,296,1
3250,16120100160037008870,0965,171,1
3251,16120100160037008871,0510,64,2
3252,16120100160037008872,0163,6,2
3253,16120100160037008872,0982,176,3
3254,16120100160037008872,0983,177,4
3255,16120100160037008873,0973,175,2
3256,16120100160037008875,0358,40,1
3257,16120100160037008876,0604,100,1
3258,16120100160037008877,0511,65,1
3259,16120100160037008878,0597,93,1
3260,16120100160037008878,0604,100,1
3261,16120100160037008879,0416,52,1
3262,16120100160037008879,0598,94,2
3263,16120100160037008880,0369,45,1
3264,16120100160037008880,0836,143,2
3265,16120100160037008880,0940,166,1
3266,16120100160037008881,0962,170,2
3267,16120100160037008882,0193,21,2
3268,16120100160037008882,0416,52,1
3269,16120100160037008882,0440,57,1
3270,16120100160037008882,0460,59,1
3271,16120100160037008882,0590,86,1
3272,16120100160037008882,0973,175,1
3273,16120100160037008883,0839,297,2
3274,16120100160037008883,0931,165,1
3275,16120100160037008884,0395,49,1
3276,16120100160037008884,0837,296,1
3277,16120100160037008885,0598,94,2
3278,16120100160037008885,0604,100,2
3279,16120100160037008886,0009,214,1
3280,16120100160037008887,0380,46,1
3281,16120100160037008888,0532,72,1
3282,16120100160037008889,0360,42,2
3283,16120100160037008889,0395,49,1
3284,16120100160037008889,0973,175,1
3285,16120100160037008890,0110,1,1
3286,16120100160038001207,0973,175,4
3287,16120100160038001208,0582,78,1
3288,16120100160038001208,0585,81,1
3289,16120100160038001208,0597,93,1
3290,16120100160038001208,0603,99,3
3291,16120100160038001208,0604,100,1
3292,16120100160038001208,0836,143,2
3293,16120100160038001208,0973,175,1
3294,16120100160038001209,0585,81,1
3295,16120100160038001209,0603,99,2
3296,16120100160038001209,0836,143,1
3297,16120100160038001210,0585,81,1
3298,16120100160038001210,0603,99,4
3299,16120100160038001210,0973,175,1
3300,16120100160038001211,0360,42,5
3301,16120100160038001211,0973,175,4
3302,16120100160038001212,0962,170,1
3303,16120100160038001213,0353,36,1
3304,16120100160038001213,0638,106,1
3305,16120100160038001213,0640,108,2
3306,16120100160038001214,0280,27,1
3307,16120100160038001215,0110,1,1
3308,16120100160038001215,0271,26,2
3309,16120100160038001215,0360,42,7
3310,16120100160038001215,0530,70,1
3311,16120100160038001215,0532,72,3
3312,16120100160038001215,0533,307,8
3313,16120100160038001215,0597,93,6
3314,16120100160038001215,0603,99,4
3315,16120100160038001215,0634,102,1
3316,16120100160038001215,0819,135,1
3317,16120100160038001215,0826,138,1
3318,16120100160038001215,0836,143,4
3319,16120100160038001215,0930,164,1
3320,16120100160038001215,0973,175,4
3321,16120100160038001216,0368,44,4
3322,16120100160038001216,0603,99,1
3323,16120100160038001216,0604,100,1
3324,16120100160038001216,0826,138,1
3325,16120100160038001216,0884,160,1
3326,16120100160038001216,0999,182,1
3327,16120100160038001217,0181,14,1
3328,16120100160038001217,0261,250,5
3329,16120100160038001217,0837,296,1
3330,16120100160038001218,0604,100,1
3331,16120100160038001218,0644,292,1
3332,16120100160038001219,0973,175,1
3333,16120100160038001220,0634,102,3
3334,16120100160038001221,0380,46,1
3335,16120100160038001221,0603,99,2
3336,16120100160038001222,0486,63,1
3337,16120100160038001223,0486,63,1
3338,16120100160038001224,0163,6,1
3339,16120100160038001225,0071,266,1
3340,16120100160038001225,0644,292,1
3341,16120100160038001225,0879,158,5
3342,16120100160038001225,0962,170,4
3343,16120100160038001226,0982,176,1
3344,16120100160038001227,0071,266,3
3345,16120100160038001227,0532,72,1
3346,16120100160038001227,0590,86,1
3347,16120100160038001227,0593,270,1
3348,16120100160038001227,0604,100,1
3349,16120100160038001227,0836,143,1
3350,16120100160038001227,0884,160,1
3351,16120100160038001228,0638,106,1
3352,16120100160038001228,0941,167,1
